 format: day,day,forecast,value location:59_125 Start : 20210801 ,value location:59_125 Start : 20220801 ,value location:59_125 Start : 20200801 
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0.5,1
2,2,2,0,1.5,12
2,2,3,0,0,7
2,2,4,0,0.5,6.5
2,2,5,0,4.5,8
2,2,6,0,1,2.5
2,2,1,0,19.5,7.5
2,2,2,0,22.5,14
2,2,3,0,1.5,26.5
2,2,4,0,0.5,18.5
2,2,5,0,0,7.5
2,2,6,0,0,1.5
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0.5,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
2,2,1,0,0,0
2,2,2,0,0,0
2,2,3,0,0,0
2,2,4,0,0,0
2,2,5,0,0,0
2,2,6,0,0,0
,,,,0,0
3,3,1,0,0,0
3,3,2,0,0.5,0
3,3,3,0,1,0
3,3,4,0,1.5,0
3,3,5,0,0.5,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0.1,0,0
3,3,5,2.5,0,0
3,3,6,1.1,0,0
3,3,1,0,0,0
3,3,2,1.6,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,1.3,0,0
3,3,6,2.1,0,0
3,3,1,5.4,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0.5,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,2.1,0,0
3,3,2,0.1,0,0
3,3,3,0,0,0.5
3,3,4,0,0,0
3,3,5,0,0,2
3,3,6,0,0,1
3,3,1,0,0,0.5
3,3,2,0,0,20
3,3,3,0,0,14.5
3,3,4,0,0,4
3,3,5,0,0,0.5
3,3,6,0,0,1
3,3,1,0,0,0
3,3,2,0,0,1.5
3,3,3,0,0,5
3,3,4,0,0,0
3,3,5,0,0,2
3,3,6,0,0,0.5
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,1,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0.5,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,2.6,0,0
3,3,6,2.7,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,0,0
3,3,1,0,0,0
3,3,2,0,0,0
3,3,3,0,0,0
3,3,4,0,0,0
3,3,5,0,0,0
3,3,6,0,-1,0
,,,,0,0
4,4,1,0,0,0
4,4,2,0,0,0
4,4,3,0,0,0
4,4,4,0,0,0
4,4,5,0,4.5,0
4,4,6,0,22.5,0
